Unnamed: 0,ID,Play,Q,Away,Away O/D,AwayScore,Home,HomeScore,Home O/D,Offense,Defense,Down,Distance,YdLine,Yards,Success?,Line Yards,RB Yards,PointValue,Player Pos,YdLine2,team_game_drive,drive_play,Play Name,Series #,Series Sequence,Field Position,Gain,Hash,Personnel,Tempo,Shift,Formation,Variation,New Field,Formation Family,Backfield,Motion,R*P,Playcall,Protection,Special,RPO,Family,Family 2,Pass Type,Pass Result,BC REC,BC POS,Blitz,Def Formation,Strength,GN Def,Def Motion,Def Play,# of Backs,# Wide,# TE,Gun_map,PlayType,QBRunDir,RBRunDir,PostRead1,MotionPos,Gun,RunDir,Unit,RunDir2,No Huddle?,Complete?,inc_reason,Dist,ExpectedEP,QB Name,Player Name,FormFamily,LeftWR,RightWR,LeftTE,RightTE
0,3.00E+16,9,1,Arkansas State,Off,0,Appalachian State,7,Def,Arkansas State,Appalachian State,1,10,25,0,No,0,0,0,RB,-25,1,1,"1509 ARKSTOFFvSAPPST, Play 001",1,1,-25,0,L,ST,,,REX,,,,,YODA,R,15,,,ARC,CTR,CTR,,,34,B,,,,,,,1,3,1,,Run,,LC,,TE,Shotgun,LC,Offense,,,,Not Available,10,0.4425,,Michael Gordon,3x1,1,2,0,1
1,3.00E+16,10,1,Arkansas State,Off,0,Appalachian State,7,Def,Arkansas State,Appalachian State,2,10,25,4,No,4,0,0.2784,RB,-25,1,2,"1509 ARKSTOFFvSAPPST, Play 002",1,2,-25,4,L,ST,,,LEON,,,,,,R,FLOAT 23,,,ASTRO,I/S ZONE SPLIT,I/S ZONE SPLIT,,,34,B,,,,,,,1,3,1,,Run,RC,LB,,,Shotgun,LB,Offense,,,,Not Available,10,0.2325,,Michael Gordon,2x2,1,2,Fullback,0
2,3.00E+16,11,1,Arkansas State,Off,0,Appalachian State,7,Def,Arkansas State,Appalachian State,3,6,,0,No,0,0,0,WR,-21,1,3,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,6,0.55,Fredi Knighten,Tres Houston,,,,,
4,3.00E+16,17,1,Arkansas State,Off,0,Appalachian State,7,Def,Arkansas State,Appalachian State,1,10,,-18,No,0,0,-1.4976,QB,3,2,1,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.68,,Fredi Knighten,,,,,
3,3.00E+16,18,1,Arkansas State,Off,0,Appalachian State,7,Def,Arkansas State,Appalachian State,2,28,15,0,No,0,0,0,WR,-15,2,2,"1509 ARKSTOFFvSAPPST, Play 005",2,2,-35,0,R,ST,,,RAYON,,,,,,R,FIDDLE 26,,,ARC,O/S ZONE,O/S ZONE,,I,,,,,,,,,1,3,1,,Run,LB,RD,3 technique (DT),,Shotgun,RD,Offense,,,,Not Available,28,0.03,Fredi Knighten,J.D. McKissic,2x2,2,1,0,Fullback
5,3.00E+16,19,1,Arkansas State,Off,0,Appalachian State,7,Def,Arkansas State,Appalachian State,3,28,15,14,No,7.5,6.5,1.1424,RB,-15,2,3,"1509 ARKSTOFFvSAPPST, Play 006",2,3,-35,14,R,ST,,,LEON,,,,,,R,MATCH SW 14,,,ASTRO,CTR,CTR,,,6,B,,,,,,,1,3,1,,Run,,RC,,,Shotgun,RC,Offense,,,,Not Available,28,0.1125,,Warren Wand,2x2,1,2,Fullback,0
6,3.00E+16,23,1,Arkansas State,Off,0,Appalachian State,7,Def,Arkansas State,Appalachian State,1,8,58,8,Yes,0,0,1.0054,WR,42,3,1,"1509 ARKSTOFFvSAPPST, Play 007",3,1,8,8,R,FL,,,L,WING,,,,,R,22,,,FARGO,I/S ZONE SPLIT,I/S ZONE SPLIT,,C,15,R,,,,,,,1,2,2,,Run,LC,RB,,,Shotgun,RB,Offense,,,,Not Available,8,0.39,Fredi Knighten,Tres Houston,2x1,1,1,1,0
8,3.00E+16,36,1,Arkansas State,Off,7,Appalachian State,14,Def,Arkansas State,Appalachian State,1,10,16,3,No,3,0,0.2292,QB,-16,4,1,"1509 ARKSTOFFvSAPPST, Play 008",4,1,-34,3,L,ST,,,LEON,,,,,,R,FIDDLE 27,,,ASTRO,O/S ZONE,O/S ZONE,,,9,Q,,,,,,,1,3,1,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,10,0.5,,Fredi Knighten,2x2,1,2,Fullback,0
7,3.00E+16,37,1,Arkansas State,Off,7,Appalachian State,14,Def,Arkansas State,Appalachian State,2,7,,15,Yes,0,0,1.254,TE,-13,4,2,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,LC,RB,,,Shotgun,RB,Offense,,,,Not Available,7,0.32,Fredi Knighten,Darion Griswold,,,,,
12,3.00E+16,38,1,Arkansas State,Off,7,Appalachian State,14,Def,Arkansas State,Appalachian State,1,10,98,8,Yes,6,2,0.7424,RB,2,4,3,"1509 ARKSTOFFvSAPPST, Play 010",4,3,48,8,L,ST,,,LEON,,,,,,R,FLOAT 23,,,ARC,I/S ZONE SPLIT,I/S ZONE SPLIT,,,6,B,,,,,,,1,3,1,,Run,LB,RD,Backside LB,,Shotgun,RD,Offense,,,,Not Available,10,0.6225,,Warren Wand,2x2,1,2,Fullback,0
9,3.00E+16,39,1,Arkansas State,Off,7,Appalachian State,14,Def,Arkansas State,Appalachian State,2,2,90,7,Yes,5.5,1.5,0.6916,RB,10,4,4,"1509 ARKSTOFFvSAPPST, Play 011",4,4,40,7,L,ST,,,LEON,,,,,,R,FIDDLE 27,,,ASTRO,O/S ZONE,O/S ZONE,,,34,B,,,,,,,1,3,1,,Run,RB,LD,3 technique (DT),,Shotgun,LD,Offense,,,,Not Available,2,0.69,,Michael Gordon,2x2,1,2,Fullback,0
10,3.00E+16,40,1,Arkansas State,Off,7,Appalachian State,14,Def,Arkansas State,Appalachian State,1,10,83,-1,No,-1.2,0.2,-0.1012,RB,17,4,5,"1509 ARKSTOFFvSAPPST, Play 012",4,5,33,-1,L,ST,,,RAYON,,,,,,R,MATCH SW 15,,,ASTRO,CTR,CTR,,,34,B,,,,,,,1,3,1,,Run,RB,LD,3 technique (DT),,Shotgun,LD,Offense,,,,Not Available,10,0.4,,Michael Gordon,2x2,2,1,0,Fullback
11,3.00E+16,42,1,Arkansas State,Off,7,Appalachian State,14,Def,Arkansas State,Appalachian State,2,11,84,0,No,0,0,0,RB,16,4,6,"1509 ARKSTOFFvSAPPST, Play 013",4,6,34,0,L,ST,,,LIZ,,,,,YODA,R,MATCH 26,,,ASTRO,O/S ZONE,O/S ZONE,,,30,B,,,,,,,1,3,1,,Run,,LC,,TE,Shotgun,LC,Offense,,,,Not Available,11,0.26,,Johnston White,2x2,1,2,1,0
13,3.00E+16,43,1,Arkansas State,Off,7,Appalachian State,14,Def,Arkansas State,Appalachian State,3,11,,0,No,0,0,0,WR,16,4,7,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,RC,LB,,,Shotgun,LB,Offense,,,,Not Available,11,0.215,Fredi Knighten,Booker Mays,,,,,
14,3.00E+16,61,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,1,10,25,3,No,3,0,0.2076,RB,-25,5,1,"1509 ARKSTOFFvSAPPST, Play 015",5,1,-25,3,R,ST,,,ROPE,,,,,ARD,R,42,,,TROUBLE,I/S ZONE,I/S ZONE,,,34,B,,,,,,,1,3,1,,Run,?,?,,WR,Shotgun,?,Offense,,,,Not Available,10,0.4725,,Michael Gordon,2x2,2,0,0,2
16,3.00E+16,62,2,Arkansas State,Off,14,Appalachian State,21,Def,Arkansas State,Appalachian State,2,7,,0,No,0,0,0,WR,-22,5,2,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,Run,?,?,,,Shotgun,?,Offense,,,,Not Available,7,0.3875,Fredi Knighten,Tres Houston,,,,,
